"","DOY","median_Flow_cfs","p25_Flow_cfs","p75_Flow_cfs"
"1",5,463,463,463
"2",7,463,463,463
"3",13,576,576,576
"4",24,613,613,613
"5",25,596,596,596
"6",26,699,699,699
"7",57,857,857,857
"8",87,1550,1550,1550
"9",102,666,666,666
"10",116,2937.5,1956.25,3918.75
"11",123,1250,1250,1250
"12",129,1714,1341,2087
"13",130,3300,3300,3300
"14",132,1290,1035,1545
"15",141,5360,5360,5360
"16",146,3340,3340,3340
"17",153,1530,1530,1530
"18",177,984,984,984
"19",200,582,582,582
"20",201,1120,1120,1120
"21",213,338,338,338
"22",219,701,701,701
"23",221,489,489,489
"24",223,891,891,891
"25",224,902,902,902
"26",228,1040,1040,1040
"27",229,684,684,684
"28",230,580,580,580
"29",231,1160,1160,1160
"30",232,631,631,631
"31",233,550,550,550
"32",235,464,464,464
"33",238,748,748,748
"34",255,541,541,541
"35",310,1560,1560,1560
"36",323,652,652,652
"37",329,458,458,458
"38",336,502,502,502
"39",341,709,709,709
"40",347,823,823,823
"41",351,577,577,577
"42",353,961,961,961
