"","Date","Year","Month","DOY","Variable","Value"
"1",1996-07-18,1996,7,200,"Discharge_cfs",582
"2",1996-07-18,1996,7,200,"SuspendedSedimentConcentration_mg.L",39
"3",1996-07-18,1996,7,200,"Phosphorus_mg.L",0.05
"4",2000-07-19,2000,7,201,"Discharge_cfs",1120
"5",2000-07-19,2000,7,201,"SuspendedSedimentConcentration_mg.L",38
"6",2000-07-19,2000,7,201,"Phosphorus_mg.L",0.157
"7",2006-09-12,2006,9,255,"Discharge_cfs",541
"8",2006-09-12,2006,9,255,"SuspendedSedimentConcentration_mg.L",26
"9",2006-09-12,2006,9,255,"Phosphorus_mg.L",0.074
"10",2006-11-06,2006,11,310,"Discharge_cfs",1560
"11",2006-11-06,2006,11,310,"SuspendedSedimentConcentration_mg.L",16
"12",2006-11-06,2006,11,310,"Phosphorus_mg.L",0.06
"13",2007-05-09,2007,5,129,"Discharge_cfs",2460
"14",2007-05-09,2007,5,129,"SuspendedSedimentConcentration_mg.L",9
"15",2007-05-09,2007,5,129,"Phosphorus_mg.L",0.07
"16",2007-06-26,2007,6,177,"Discharge_cfs",984
"17",2007-06-26,2007,6,177,"SuspendedSedimentConcentration_mg.L",14
"18",2007-06-26,2007,6,177,"Phosphorus_mg.L",0.062
"19",2007-08-07,2007,8,219,"Discharge_cfs",701
"20",2007-08-07,2007,8,219,"SuspendedSedimentConcentration_mg.L",6
"21",2007-08-07,2007,8,219,"Phosphorus_mg.L",0.063
"22",2008-11-24,2008,11,329,"Discharge_cfs",458
"23",2008-11-24,2008,11,329,"SuspendedSedimentConcentration_mg.L",13
"24",2008-11-24,2008,11,329,"Phosphorus_mg.L",0.04
"25",2009-01-26,2009,1,26,"Discharge_cfs",699
"26",2009-01-26,2009,1,26,"SuspendedSedimentConcentration_mg.L",6
"27",2009-01-26,2009,1,26,"Phosphorus_mg.L",0.027
"28",2009-11-19,2009,11,323,"Discharge_cfs",652
"29",2009-11-19,2009,11,323,"SuspendedSedimentConcentration_mg.L",14
"30",2009-11-19,2009,11,323,"Phosphorus_mg.L",0.032
"31",2010-05-10,2010,5,130,"Discharge_cfs",3300
"32",2010-05-10,2010,5,130,"SuspendedSedimentConcentration_mg.L",13
"33",2010-05-10,2010,5,130,"Phosphorus_mg.L",0.05
"34",2010-08-16,2010,8,228,"Discharge_cfs",1040
"35",2010-08-16,2010,8,228,"SuspendedSedimentConcentration_mg.L",59
"36",2010-08-16,2010,8,228,"Phosphorus_mg.L",0.074
"37",2010-12-02,2010,12,336,"Discharge_cfs",502
"38",2010-12-02,2010,12,336,"SuspendedSedimentConcentration_mg.L",9
"39",2010-12-02,2010,12,336,"Phosphorus_mg.L",0.018
"40",2011-06-02,2011,6,153,"Discharge_cfs",1530
"41",2011-06-02,2011,6,153,"SuspendedSedimentConcentration_mg.L",17
"42",2011-06-02,2011,6,153,"Phosphorus_mg.L",0.044
"43",2011-08-12,2011,8,224,"Discharge_cfs",902
"44",2011-08-12,2011,8,224,"SuspendedSedimentConcentration_mg.L",121
"45",2011-08-12,2011,8,224,"Phosphorus_mg.L",0.231
"46",2011-12-07,2011,12,341,"Discharge_cfs",709
"47",2011-12-07,2011,12,341,"SuspendedSedimentConcentration_mg.L",11
"48",2011-12-07,2011,12,341,"Phosphorus_mg.L",0.054
"49",2012-04-25,2012,4,116,"Discharge_cfs",975
"50",2012-04-25,2012,4,116,"SuspendedSedimentConcentration_mg.L",6
"51",2012-04-25,2012,4,116,"Phosphorus_mg.L",0.063
"52",2012-08-22,2012,8,235,"Discharge_cfs",464
"53",2012-08-22,2012,8,235,"SuspendedSedimentConcentration_mg.L",73
"54",2012-08-22,2012,8,235,"Phosphorus_mg.L",0.178
"55",2012-12-18,2012,12,353,"Discharge_cfs",961
"56",2012-12-18,2012,12,353,"SuspendedSedimentConcentration_mg.L",10
"57",2012-12-18,2012,12,353,"Phosphorus_mg.L",0.043
"58",2013-05-09,2013,5,129,"Discharge_cfs",968
"59",2013-05-09,2013,5,129,"SuspendedSedimentConcentration_mg.L",14
"60",2013-05-09,2013,5,129,"Phosphorus_mg.L",0.041
"61",2013-08-01,2013,8,213,"Discharge_cfs",338
"62",2013-08-01,2013,8,213,"SuspendedSedimentConcentration_mg.L",300
"63",2013-08-01,2013,8,213,"Phosphorus_mg.L",0.15
"64",2013-12-17,2013,12,351,"Discharge_cfs",577
"65",2013-12-17,2013,12,351,"SuspendedSedimentConcentration_mg.L",14
"66",2013-12-17,2013,12,351,"Phosphorus_mg.L",0.054
"67",2014-05-12,2014,5,132,"Discharge_cfs",1800
"68",2014-05-12,2014,5,132,"SuspendedSedimentConcentration_mg.L",24
"69",2014-05-12,2014,5,132,"Phosphorus_mg.L",0.057
"70",2014-08-21,2014,8,233,"Discharge_cfs",550
"71",2014-08-21,2014,8,233,"SuspendedSedimentConcentration_mg.L",24
"72",2014-08-21,2014,8,233,"Phosphorus_mg.L",0.102
"73",2015-01-05,2015,1,5,"Discharge_cfs",463
"74",2015-01-05,2015,1,5,"SuspendedSedimentConcentration_mg.L",7
"75",2015-01-05,2015,1,5,"Phosphorus_mg.L",0.034
"76",2015-03-28,2015,3,87,"Discharge_cfs",1550
"77",2015-03-28,2015,3,87,"SuspendedSedimentConcentration_mg.L",15
"78",2015-03-28,2015,3,87,"Phosphorus_mg.L",0.057
"79",2015-08-11,2015,8,223,"Discharge_cfs",891
"80",2015-08-11,2015,8,223,"SuspendedSedimentConcentration_mg.L",37
"81",2015-08-11,2015,8,223,"Phosphorus_mg.L",0.104
"82",2016-01-25,2016,1,25,"Discharge_cfs",596
"83",2016-01-25,2016,1,25,"SuspendedSedimentConcentration_mg.L",5
"84",2016-01-25,2016,1,25,"Phosphorus_mg.L",0.035
"85",2016-05-25,2016,5,146,"Discharge_cfs",3340
"86",2016-05-25,2016,5,146,"SuspendedSedimentConcentration_mg.L",12
"87",2016-05-25,2016,5,146,"Phosphorus_mg.L",0.066
"88",2016-08-25,2016,8,238,"Discharge_cfs",748
"89",2016-08-25,2016,8,238,"SuspendedSedimentConcentration_mg.L",91
"90",2016-08-25,2016,8,238,"Phosphorus_mg.L",0.1
"91",2016-12-12,2016,12,347,"Discharge_cfs",823
"92",2016-12-12,2016,12,347,"SuspendedSedimentConcentration_mg.L",7
"93",2016-12-12,2016,12,347,"Phosphorus_mg.L",0.054
"94",2017-04-26,2017,4,116,"Discharge_cfs",4900
"95",2017-04-26,2017,4,116,"SuspendedSedimentConcentration_mg.L",66
"96",2017-04-26,2017,4,116,"Phosphorus_mg.L",0.106
"97",2017-08-17,2017,8,229,"Discharge_cfs",684
"98",2017-08-17,2017,8,229,"SuspendedSedimentConcentration_mg.L",75
"99",2017-08-17,2017,8,229,"Phosphorus_mg.L",0.092
"100",2018-01-24,2018,1,24,"Discharge_cfs",613
"101",2018-01-24,2018,1,24,"SuspendedSedimentConcentration_mg.L",638
"102",2018-01-24,2018,1,24,"Phosphorus_mg.L",0.027
"103",2018-04-12,2018,4,102,"Discharge_cfs",666
"104",2018-04-12,2018,4,102,"SuspendedSedimentConcentration_mg.L",10
"105",2018-04-12,2018,4,102,"Phosphorus_mg.L",0.045
"106",2018-08-20,2018,8,232,"Discharge_cfs",631
"107",2018-08-20,2018,8,232,"SuspendedSedimentConcentration_mg.L",23
"108",2018-08-20,2018,8,232,"Phosphorus_mg.L",0.06
"109",2019-02-26,2019,2,57,"Discharge_cfs",857
"110",2019-02-26,2019,2,57,"SuspendedSedimentConcentration_mg.L",11
"111",2019-02-26,2019,2,57,"Phosphorus_mg.L",0.037
"112",2019-05-21,2019,5,141,"Discharge_cfs",5360
"113",2019-05-21,2019,5,141,"SuspendedSedimentConcentration_mg.L",71
"114",2019-05-21,2019,5,141,"Phosphorus_mg.L",0.132
"115",2019-08-19,2019,8,231,"Discharge_cfs",1160
"116",2019-08-19,2019,8,231,"SuspendedSedimentConcentration_mg.L",78
"117",2019-08-19,2019,8,231,"Phosphorus_mg.L",0.156
"118",2020-01-13,2020,1,13,"Discharge_cfs",576
"119",2020-01-13,2020,1,13,"SuspendedSedimentConcentration_mg.L",3
"120",2020-01-13,2020,1,13,"Phosphorus_mg.L",0.031
"121",2020-05-11,2020,5,132,"Discharge_cfs",780
"122",2020-05-11,2020,5,132,"SuspendedSedimentConcentration_mg.L",10
"123",2020-05-11,2020,5,132,"Phosphorus_mg.L",0.056
"124",2020-08-17,2020,8,230,"Discharge_cfs",580
"125",2020-08-17,2020,8,230,"SuspendedSedimentConcentration_mg.L",23
"126",2020-08-17,2020,8,230,"Phosphorus_mg.L",0.045
"127",2021-01-07,2021,1,7,"Discharge_cfs",463
"128",2021-01-07,2021,1,7,"SuspendedSedimentConcentration_mg.L",3
"129",2021-01-07,2021,1,7,"Phosphorus_mg.L",0.013
"130",2021-05-03,2021,5,123,"Discharge_cfs",1250
"131",2021-05-03,2021,5,123,"SuspendedSedimentConcentration_mg.L",6
"132",2021-05-03,2021,5,123,"Phosphorus_mg.L",0.03
"133",2021-08-09,2021,8,221,"Discharge_cfs",489
"134",2021-08-09,2021,8,221,"SuspendedSedimentConcentration_mg.L",65
"135",2021-08-09,2021,8,221,"Phosphorus_mg.L",0.076
