"","Date","Year","Month","DOY","Variable","Value"
"1",1980-10-02,1980,10,276,"Discharge_cfs",22
"2",1980-10-02,1980,10,276,"Phosphorus_mg.L",0.06
"3",1980-11-06,1980,11,311,"Discharge_cfs",43
"4",1980-11-06,1980,11,311,"Phosphorus_mg.L",0.21
"5",1980-12-10,1980,12,345,"Discharge_cfs",160
"6",1980-12-10,1980,12,345,"Phosphorus_mg.L",0.31
"7",1981-01-14,1981,1,14,"Discharge_cfs",215
"8",1981-01-14,1981,1,14,"Phosphorus_mg.L",0.34
"9",1981-02-18,1981,2,49,"Discharge_cfs",315
"10",1981-02-18,1981,2,49,"Phosphorus_mg.L",0.4
"11",1981-03-24,1981,3,83,"Discharge_cfs",254
"12",1981-03-24,1981,3,83,"Phosphorus_mg.L",0.46
"13",1981-04-06,1981,4,96,"Discharge_cfs",40
"14",1981-04-06,1981,4,96,"Phosphorus_mg.L",0.74
"15",1981-05-04,1981,5,124,"Discharge_cfs",145
"16",1981-05-04,1981,5,124,"Phosphorus_mg.L",0.64
"17",1981-06-09,1981,6,160,"Discharge_cfs",110
"18",1981-06-09,1981,6,160,"Phosphorus_mg.L",1.6
"19",1981-07-06,1981,7,187,"Discharge_cfs",105
"20",1981-07-06,1981,7,187,"Phosphorus_mg.L",0.92
"21",1981-08-11,1981,8,223,"Discharge_cfs",105
"22",1981-08-11,1981,8,223,"Phosphorus_mg.L",1.3
"23",1981-09-21,1981,9,264,"Discharge_cfs",115
"24",1981-09-21,1981,9,264,"Phosphorus_mg.L",0.61
"25",1981-10-06,1981,10,279,"Discharge_cfs",142
"26",1981-10-06,1981,10,279,"Phosphorus_mg.L",0.46
"27",1981-11-03,1981,11,307,"Discharge_cfs",286
"28",1981-11-03,1981,11,307,"Phosphorus_mg.L",0.25
"29",1982-01-12,1982,1,12,"Discharge_cfs",230
"30",1982-01-12,1982,1,12,"Phosphorus_mg.L",0.4
"31",1982-03-22,1982,3,81,"Discharge_cfs",335
"32",1982-03-22,1982,3,81,"Phosphorus_mg.L",0.34
"33",1982-05-24,1982,5,144,"Discharge_cfs",1030
"34",1982-05-24,1982,5,144,"Phosphorus_mg.L",0.52
"35",1982-06-29,1982,6,180,"Discharge_cfs",1560
"36",1982-06-29,1982,6,180,"Phosphorus_mg.L",0.37
"37",1982-09-09,1982,9,252,"Discharge_cfs",472
"38",1982-09-09,1982,9,252,"Phosphorus_mg.L",0.25
"39",1982-11-04,1982,11,308,"Discharge_cfs",580
"40",1982-11-04,1982,11,308,"Phosphorus_mg.L",0.64
"41",1982-12-10,1982,12,344,"Discharge_cfs",430
"42",1982-12-10,1982,12,344,"Phosphorus_mg.L",0.55
"43",1983-02-08,1983,2,39,"Discharge_cfs",350
"44",1983-02-08,1983,2,39,"Phosphorus_mg.L",0.46
"45",1983-04-20,1983,4,110,"Discharge_cfs",526
"46",1983-04-20,1983,4,110,"Phosphorus_mg.L",0.25
"47",1983-06-22,1983,6,173,"Discharge_cfs",1760
"48",1983-06-22,1983,6,173,"Phosphorus_mg.L",0.49
"49",1983-08-26,1983,8,238,"Discharge_cfs",69
"50",1983-08-26,1983,8,238,"Phosphorus_mg.L",0.61
"51",1983-10-18,1983,10,291,"Discharge_cfs",62
"52",1983-10-18,1983,10,291,"Phosphorus_mg.L",0.52
"53",1983-12-30,1983,12,364,"Discharge_cfs",290
"54",1983-12-30,1983,12,364,"Phosphorus_mg.L",0.31
"55",1984-02-14,1984,2,45,"Discharge_cfs",300
"56",1984-02-14,1984,2,45,"Phosphorus_mg.L",0.34
"57",1984-04-24,1984,4,115,"Discharge_cfs",1200
"58",1984-04-24,1984,4,115,"Phosphorus_mg.L",0.52
"59",1984-06-25,1984,6,177,"Discharge_cfs",898
"60",1984-06-25,1984,6,177,"Phosphorus_mg.L",0.12
"61",1984-08-21,1984,8,234,"Discharge_cfs",174
"62",1984-08-21,1984,8,234,"Phosphorus_mg.L",0.19
"63",1984-10-16,1984,10,290,"Discharge_cfs",151
"64",1984-10-16,1984,10,290,"Phosphorus_mg.L",0.13
"65",1985-04-23,1985,4,113,"Discharge_cfs",3210
"66",1985-04-23,1985,4,113,"Phosphorus_mg.L",0.12
"67",1985-06-26,1985,6,177,"Discharge_cfs",4080
"68",1985-06-26,1985,6,177,"Phosphorus_mg.L",0.13
"69",1985-08-27,1985,8,239,"Discharge_cfs",88
"70",1985-08-27,1985,8,239,"Phosphorus_mg.L",0.71
"71",1985-10-29,1985,10,302,"Discharge_cfs",258
"72",1985-10-29,1985,10,302,"Phosphorus_mg.L",0.121
"73",1985-12-23,1985,12,357,"Discharge_cfs",570
"74",1985-12-23,1985,12,357,"Phosphorus_mg.L",0.4
"75",1986-02-25,1986,2,56,"Discharge_cfs",685
"76",1986-02-25,1986,2,56,"Phosphorus_mg.L",0.17
"77",1986-04-29,1986,4,119,"Discharge_cfs",1220
"78",1986-04-29,1986,4,119,"Phosphorus_mg.L",0.17
"79",1986-06-30,1986,6,181,"Discharge_cfs",3870
"80",1986-06-30,1986,6,181,"Phosphorus_mg.L",0.12
"81",1986-08-29,1986,8,241,"Discharge_cfs",130
"82",1986-08-29,1986,8,241,"Phosphorus_mg.L",0.16
"83",1986-10-28,1986,10,301,"Discharge_cfs",776
"84",1986-10-28,1986,10,301,"Phosphorus_mg.L",0.08
"85",1986-12-17,1986,12,351,"Discharge_cfs",715
"86",1986-12-17,1986,12,351,"Phosphorus_mg.L",0.05
"87",1987-02-25,1987,2,56,"Discharge_cfs",520
"88",1987-02-25,1987,2,56,"Phosphorus_mg.L",0.05
"89",1987-04-07,1987,4,97,"Discharge_cfs",970
"90",1987-04-07,1987,4,97,"Phosphorus_mg.L",0.16
"91",1987-06-10,1987,6,161,"Discharge_cfs",3630
"92",1987-06-10,1987,6,161,"Phosphorus_mg.L",0.08
"93",1987-08-11,1987,8,223,"Discharge_cfs",82
"94",1987-08-11,1987,8,223,"Phosphorus_mg.L",0.16
"95",1987-10-14,1987,10,287,"Discharge_cfs",56
"96",1987-10-14,1987,10,287,"Phosphorus_mg.L",0.05
"97",1987-12-15,1987,12,349,"Discharge_cfs",360
"98",1987-12-15,1987,12,349,"Phosphorus_mg.L",0.08
"99",1988-02-24,1988,2,55,"Discharge_cfs",470
"100",1988-02-24,1988,2,55,"Phosphorus_mg.L",0.09
"101",1988-04-21,1988,4,112,"Discharge_cfs",355
"102",1988-04-21,1988,4,112,"Phosphorus_mg.L",0.15
"103",1988-06-29,1988,6,181,"Discharge_cfs",193
"104",1988-06-29,1988,6,181,"Phosphorus_mg.L",0.13
"105",1988-08-25,1988,8,238,"Discharge_cfs",40
"106",1988-08-25,1988,8,238,"Phosphorus_mg.L",0.18
"107",1988-10-19,1988,10,293,"Discharge_cfs",90
"108",1988-10-19,1988,10,293,"Phosphorus_mg.L",0.11
"109",1988-12-08,1988,12,343,"Discharge_cfs",330
"110",1988-12-08,1988,12,343,"Phosphorus_mg.L",0.09
"111",1989-02-24,1989,2,55,"Discharge_cfs",310
"112",1989-02-24,1989,2,55,"Phosphorus_mg.L",0.08
"113",1989-04-21,1989,4,111,"Discharge_cfs",863
"114",1989-04-21,1989,4,111,"Phosphorus_mg.L",0.11
"115",1989-06-22,1989,6,173,"Discharge_cfs",148
"116",1989-06-22,1989,6,173,"Phosphorus_mg.L",0.09
"117",1989-08-29,1989,8,241,"Discharge_cfs",40
"118",1989-08-29,1989,8,241,"Phosphorus_mg.L",0.11
"119",1989-10-26,1989,10,299,"Discharge_cfs",95
"120",1989-10-26,1989,10,299,"Phosphorus_mg.L",0.11
"121",1989-12-06,1989,12,340,"Discharge_cfs",130
"122",1989-12-06,1989,12,340,"Phosphorus_mg.L",0.15
