"","Date","Discharge_cfs","Phosphorus_mg.L","Year","Month","DOY"
"1",1980-10-02,22,0.06,1980,10,276
"2",1980-11-06,43,0.21,1980,11,311
"3",1980-12-10,160,0.31,1980,12,345
"4",1981-01-14,215,0.34,1981,1,14
"5",1981-02-18,315,0.4,1981,2,49
"6",1981-03-24,254,0.46,1981,3,83
"7",1981-04-06,40,0.74,1981,4,96
"8",1981-05-04,145,0.64,1981,5,124
"9",1981-06-09,110,1.6,1981,6,160
"10",1981-07-06,105,0.92,1981,7,187
"11",1981-08-11,105,1.3,1981,8,223
"12",1981-09-21,115,0.61,1981,9,264
"13",1981-10-06,142,0.46,1981,10,279
"14",1981-11-03,286,0.25,1981,11,307
"15",1982-01-12,230,0.4,1982,1,12
"16",1982-03-22,335,0.34,1982,3,81
"17",1982-05-24,1030,0.52,1982,5,144
"18",1982-06-29,1560,0.37,1982,6,180
"19",1982-09-09,472,0.25,1982,9,252
"20",1982-11-04,580,0.64,1982,11,308
"21",1982-12-10,430,0.55,1982,12,344
"22",1983-02-08,350,0.46,1983,2,39
"23",1983-04-20,526,0.25,1983,4,110
"24",1983-06-22,1760,0.49,1983,6,173
"25",1983-08-26,69,0.61,1983,8,238
"26",1983-10-18,62,0.52,1983,10,291
"27",1983-12-30,290,0.31,1983,12,364
"28",1984-02-14,300,0.34,1984,2,45
"29",1984-04-24,1200,0.52,1984,4,115
"30",1984-06-25,898,0.12,1984,6,177
"31",1984-08-21,174,0.19,1984,8,234
"32",1984-10-16,151,0.13,1984,10,290
"33",1985-04-23,3210,0.12,1985,4,113
"34",1985-06-26,4080,0.13,1985,6,177
"35",1985-08-27,88,0.71,1985,8,239
"36",1985-10-29,258,0.121,1985,10,302
"37",1985-12-23,570,0.4,1985,12,357
"38",1986-02-25,685,0.17,1986,2,56
"39",1986-04-29,1220,0.17,1986,4,119
"40",1986-06-30,3870,0.12,1986,6,181
"41",1986-08-29,130,0.16,1986,8,241
"42",1986-10-28,776,0.08,1986,10,301
"43",1986-12-17,715,0.05,1986,12,351
"44",1987-02-25,520,0.05,1987,2,56
"45",1987-04-07,970,0.16,1987,4,97
"46",1987-06-10,3630,0.08,1987,6,161
"47",1987-08-11,82,0.16,1987,8,223
"48",1987-10-14,56,0.05,1987,10,287
"49",1987-12-15,360,0.08,1987,12,349
"50",1988-02-24,470,0.09,1988,2,55
"51",1988-04-21,355,0.15,1988,4,112
"52",1988-06-29,193,0.13,1988,6,181
"53",1988-08-25,40,0.18,1988,8,238
"54",1988-10-19,90,0.11,1988,10,293
"55",1988-12-08,330,0.09,1988,12,343
"56",1989-02-24,310,0.08,1989,2,55
"57",1989-04-21,863,0.11,1989,4,111
"58",1989-06-22,148,0.09,1989,6,173
"59",1989-08-29,40,0.11,1989,8,241
"60",1989-10-26,95,0.11,1989,10,299
"61",1989-12-06,130,0.15,1989,12,340
"62",1990-02-27,290,0.04,1990,2,58
"63",1990-04-19,103,0.1,1990,4,109
"64",1990-06-13,550,0.22,1990,6,164
"65",1990-08-23,188,0.16,1990,8,235
"66",1990-10-17,252,0.1,1990,10,290
"67",1990-12-19,220,0.09,1990,12,353
"68",1991-02-21,365,0.05,1991,2,52
"69",1991-04-25,731,0.18,1991,4,115
"70",1991-06-21,490,0.12,1991,6,172
"71",1991-08-20,175,0.12,1991,8,232
"72",1991-10-11,71,0.05,1991,10,284
"73",1991-12-30,265,0.04,1991,12,364
"74",1992-02-26,300,0.06,1992,2,57
"75",1992-06-23,457,0.09,1992,6,175
"76",1992-08-26,651,0.62,1992,8,239
"77",1992-10-27,105,0.09,1992,10,301
"78",1992-12-02,215,0.08,1992,12,337
"79",1993-02-23,340,0.07,1993,2,54
"80",1993-06-14,970,0.09,1993,6,165
"81",1993-08-16,112,0.12,1993,8,228
"82",1996-02-27,528,0.1,1996,2,58
"83",1996-04-22,152,0.1,1996,4,113
"84",1996-06-26,52,0.06,1996,6,178
"85",1996-08-20,30,0.07,1996,8,233
