"","DOY","median_Flow_cfs","p25_Flow_cfs","p75_Flow_cfs"
"1",1,657,637,684
"2",2,677,660,699
"3",3,661,645,685.75
"4",4,668,656,682.5
"5",5,643.5,532.5,665
"6",6,653.5,626,711.75
"7",7,693,631.75,736.25
"8",8,659.5,636.5,699.75
"9",9,691,644,693
"10",10,703,662.5,728.5
"11",11,699,646.5,722.25
"12",12,657,641,747
"13",13,661,634,713
"14",14,685.5,635.75,726.5
"15",15,675.5,635,690.5
"16",16,658,633.5,684.5
"17",17,669,659,685
"18",18,668,608,685
"19",19,648,615,687
"20",20,665,639,680
"21",21,680,646.5,687
"22",22,691,676.25,717
"23",23,649.5,580.5,680.75
"24",24,670,573,714
"25",25,604,572,680.5
"26",26,676,617,702
"27",27,627.5,588.25,647
"28",28,655,597,687
"29",29,604,591,669.5
"30",30,626,613,677
"31",31,626,618,646
"32",32,649,626.5,677.5
"33",33,670,622.5,675.5
"34",34,666.5,627,690.25
"35",35,657,612.5,682
"36",36,693,667,708.5
"37",37,698,647,704
"38",38,681,646,713
"39",39,660,599.5,725
"40",40,689.5,659.5,732.25
"41",41,687,617.5,723.5
"42",42,681,629,702
"43",43,689.5,630.75,741.5
"44",44,718,665.25,815
"45",45,698,641,825.75
"46",46,764.5,681.5,985.5
"47",47,707,680,829
"48",48,699.5,652.75,788.75
"49",49,716.5,674.25,760.5
"50",50,739.5,698.5,967.25
"51",51,760.5,693.75,910.25
"52",52,752,637,903.5
"53",53,740,651,792
"54",54,788.5,663.5,982.5
"55",55,741,638.75,858
"56",56,786,668.5,892.5
"57",57,766,647,817
"58",58,700.5,683.25,798
"59",59,719,708,838
"60",60,819,697,852
"61",61,807,676.75,850.25
"62",62,846,748.5,925
"63",63,793,659.5,861.5
"64",64,813,683,870
"65",65,792,656.5,863
"66",66,786,664,835
"67",67,785,684.5,934
"68",68,781,684,802
"69",69,793.5,653.25,989.25
"70",70,805.5,796.5,1020
"71",71,894,788,1140
"72",72,994.5,820.75,1395
"73",73,905,750,1230
"74",74,1029,843.5,1275
"75",75,936,744.5,1225
"76",76,937.5,792.5,1087.5
"77",77,941,754,1100
"78",78,1090,876.25,1332.5
"79",79,1022.5,751.25,1185
"80",80,978,772,1150
"81",81,1050,734.5,1350
"82",82,1140,870,1365
"83",83,1100,823.5,1350
"84",84,1125,763.5,1390
"85",85,1140,745,1440
"86",86,1120,766,1420
"87",87,964.5,751.5,1635
"88",88,1040,783.5,1600
"89",89,1050,799,1930
"90",90,935.5,764.75,1825
"91",91,1730,746,2015
"92",92,784,752,2130
"93",93,858,820,2070
"94",94,1800,848,2020
"95",95,1184,855,1775
"96",96,1370,820,1790
"97",97,1290,824,1930
"98",98,1140,883.25,1587.5
"99",99,1160,924,1705
"100",100,971,838,1430
"101",101,918,813,1790
"102",102,942,890.25,1230
"103",103,1280,912.75,2635
"104",104,994,860,1500
"105",105,1140,859.25,1967.5
"106",106,907,807,1410
"107",107,1050,870,1560
"108",108,1065,922.5,2457.5
"109",109,1115,981.75,2540
"110",110,1145,899.5,2637.5
"111",111,1230,1101.75,3177.5
"112",112,1060,977,3020
"113",113,1250,984.75,2860
"114",114,1250,1006,2345
"115",115,1310,1110,3850
"116",116,1295,1085,3080
"117",117,1360,1110,3325
"118",118,1360,1040,4057.5
"119",119,1545,979.5,4140
"120",120,1470,977,3735
"121",121,1395,1032.5,3782.5
"122",122,3080,1060,3900
"123",123,1260,1050,2825
"124",124,1200,1097.5,2927.5
"125",125,1180,1110,3470
"126",126,1370,1155,3710
"127",127,1210,1074.25,2200
"128",128,1390,1167.5,3160
"129",129,1610,1235,4245
"130",130,1350,1095,3055
"131",131,1405,1090,2670
"132",132,2100,1302.5,3697.5
"133",133,1950,1190,3660
"134",134,1630,1170,2785
"135",135,1930,1200,3395
"136",136,1720,1110,3182.5
"137",137,1420,1030,2060
"138",138,1230,1060,2200
"139",139,1350,1090,2580
"140",140,1400,1070,2970
"141",141,1370,1070,2740
"142",142,1280,1160,2780
