"","Date","Year","Month","DOY","Variable","Value"
"1",1980-10-08,1980,10,282,"Discharge_cfs",682
"2",1980-10-08,1980,10,282,"SuspendedSedimentConcentration_mg.L",78
"3",1980-11-05,1980,11,310,"Discharge_cfs",1050
"4",1980-11-05,1980,11,310,"SuspendedSedimentConcentration_mg.L",223
"5",1980-12-04,1980,12,339,"Discharge_cfs",1480
"6",1980-12-04,1980,12,339,"SuspendedSedimentConcentration_mg.L",248
"7",1981-01-07,1981,1,7,"Discharge_cfs",709
"8",1981-01-07,1981,1,7,"SuspendedSedimentConcentration_mg.L",16
"9",1981-02-11,1981,2,42,"Discharge_cfs",548
"10",1981-02-11,1981,2,42,"SuspendedSedimentConcentration_mg.L",20
"11",1981-03-04,1981,3,63,"Discharge_cfs",650
"12",1981-03-04,1981,3,63,"SuspendedSedimentConcentration_mg.L",48
"13",1981-04-09,1981,4,99,"Discharge_cfs",291
"14",1981-04-09,1981,4,99,"SuspendedSedimentConcentration_mg.L",16
"15",1981-04-15,1981,4,105,"Discharge_cfs",1120
"16",1981-04-15,1981,4,105,"SuspendedSedimentConcentration_mg.L",892
"17",1981-05-05,1981,5,125,"Discharge_cfs",1630
"18",1981-05-05,1981,5,125,"SuspendedSedimentConcentration_mg.L",230
"19",1981-06-15,1981,6,166,"Discharge_cfs",945
"20",1981-06-15,1981,6,166,"SuspendedSedimentConcentration_mg.L",75
"21",1981-07-01,1981,7,182,"Discharge_cfs",678
"22",1981-07-01,1981,7,182,"SuspendedSedimentConcentration_mg.L",313
"23",1981-07-02,1981,7,183,"Discharge_cfs",1090
"24",1981-07-02,1981,7,183,"SuspendedSedimentConcentration_mg.L",11600
"25",1981-07-13,1981,7,194,"Discharge_cfs",569
"26",1981-07-13,1981,7,194,"SuspendedSedimentConcentration_mg.L",536
"27",1981-07-16,1981,7,197,"Discharge_cfs",541
"28",1981-07-16,1981,7,197,"SuspendedSedimentConcentration_mg.L",13100
"29",1981-07-22,1981,7,203,"Discharge_cfs",1270
"30",1981-07-22,1981,7,203,"SuspendedSedimentConcentration_mg.L",4740
"31",1981-07-27,1981,7,208,"Discharge_cfs",1340
"32",1981-07-27,1981,7,208,"SuspendedSedimentConcentration_mg.L",3020
"33",1981-08-13,1981,8,225,"Discharge_cfs",1300
"34",1981-08-13,1981,8,225,"SuspendedSedimentConcentration_mg.L",12600
"35",1981-08-19,1981,8,231,"Discharge_cfs",385
"36",1981-08-19,1981,8,231,"SuspendedSedimentConcentration_mg.L",115
"37",1981-09-03,1981,9,246,"Discharge_cfs",336
"38",1981-09-03,1981,9,246,"SuspendedSedimentConcentration_mg.L",2490
"39",1981-09-05,1981,9,248,"Discharge_cfs",634
"40",1981-09-05,1981,9,248,"SuspendedSedimentConcentration_mg.L",23300
"41",1981-09-06,1981,9,249,"Discharge_cfs",958
"42",1981-09-06,1981,9,249,"SuspendedSedimentConcentration_mg.L",9780
"43",1981-09-21,1981,9,264,"Discharge_cfs",327
"44",1981-09-21,1981,9,264,"SuspendedSedimentConcentration_mg.L",63
"45",1981-10-03,1981,10,276,"Discharge_cfs",477
"46",1981-10-03,1981,10,276,"SuspendedSedimentConcentration_mg.L",2110
"47",1982-02-01,1982,2,32,"Discharge_cfs",599
"48",1982-02-01,1982,2,32,"SuspendedSedimentConcentration_mg.L",40
"49",1982-03-16,1982,3,75,"Discharge_cfs",1330
"50",1982-03-16,1982,3,75,"SuspendedSedimentConcentration_mg.L",1290
"51",1982-04-06,1982,4,96,"Discharge_cfs",1790
"52",1982-04-06,1982,4,96,"SuspendedSedimentConcentration_mg.L",1680
"53",1982-04-15,1982,4,105,"Discharge_cfs",2800
"54",1982-04-15,1982,4,105,"SuspendedSedimentConcentration_mg.L",2330
"55",1982-05-02,1982,5,122,"Discharge_cfs",3740
"56",1982-05-02,1982,5,122,"SuspendedSedimentConcentration_mg.L",2040
"57",1982-07-01,1982,7,182,"Discharge_cfs",3780
"58",1982-07-01,1982,7,182,"SuspendedSedimentConcentration_mg.L",230
"59",1982-07-30,1982,7,211,"Discharge_cfs",1910
"60",1982-07-30,1982,7,211,"SuspendedSedimentConcentration_mg.L",5510
"61",1982-07-31,1982,7,212,"Discharge_cfs",2820
"62",1982-07-31,1982,7,212,"SuspendedSedimentConcentration_mg.L",23200
"63",1982-08-01,1982,8,213,"Discharge_cfs",1940
"64",1982-08-01,1982,8,213,"SuspendedSedimentConcentration_mg.L",965
"65",1982-08-17,1982,8,229,"Discharge_cfs",880
"66",1982-08-17,1982,8,229,"SuspendedSedimentConcentration_mg.L",224
"67",1982-08-25,1982,8,237,"Discharge_cfs",1990
"68",1982-08-25,1982,8,237,"SuspendedSedimentConcentration_mg.L",12200
